time,hip_flexion_l_moment,hip_adduction_l_moment,hip_rotation_l_moment,knee_angle_l_moment,ankle_angle_l_moment,subtalar_angle_l_moment,hip_flexion_r_moment,hip_adduction_r_moment,hip_rotation_r_moment,knee_angle_r_moment,ankle_angle_r_moment,subtalar_angle_r_moment
61.67,-0.013599272493421,-0.0517611957048623,0.00398737948788266,0.056668345822605,-0.47743461149445,0.263363210941563,-0.13999052560061,-0.082663699576889,-0.00244304050033721,0.11592234923851,-0.267032588559812,0.0732413173213506
61.675,-0.0139374786825277,-0.0522623684195401,0.00394864004419255,0.0578266074107198,-0.474848018283557,0.262045119906893,-0.139487377551885,-0.0835225900114431,-0.00235931710577181,0.116917005774127,-0.264696816905435,0.0726446152774725
61.68,-0.0143010265428335,-0.0527963933697916,0.00391509136984062,0.0590558727430702,-0.472340268112639,0.260747389582605,-0.139059181556369,-0.084404028300911,-0.00228578381337715,0.117853708714628,-0.262392049363047,0.072057632206567
61.685,-0.0146632058346999,-0.0533504529833035,0.00388856131410721,0.0603569255202694,-0.46990645453588,0.259468413577223,-0.138709807350682,-0.0852999484890674,-0.00222244310553033,0.118734452733499,-0.26011135462314,0.0714779033043674
61.69,-0.0149974568417664,-0.0539110311187256,0.00387069188171171,0.0617300580572819,-0.467541346182897,0.258206915982419,-0.138441302470449,-0.086202096729489,-0.00216905323857881,0.119562662586785,-0.25784910463651,0.0709033082248338
61.695,-0.0152782667159281,-0.0544643594266959,0.00386288443733516,0.0631747969339252,-0.46523959595498,0.256961991704928,-0.138253841108381,-0.0871022878357453,-0.00212510901154164,0.120343066388204,-0.255601308812037,0.0703321673582287
61.7,-0.0154819906456079,-0.0549968685729933,0.0038662548952993,0.0646896600383754,-0.46299592702741,0.255733125451358,-0.138145735653634,-0.0879926770769518,-0.00208982666025801,0.121081522199751,-0.25336589860624,0.0697633245732703
61.705,-0.0155875716012474,-0.0554956292855343,0.00388160016676388,0.0662719561115506,-0.460805289742905,0.254520189697691,-0.1381135094872,-0.0888660365373988,-0.0020621341339975,0.121784804074724,-0.251142948298062,0.0691962129809133
61.71,-0.0155771382126512,-0.0559487677933735,0.00390937658416827,0.0679176353199721,-0.458662985234629,0.253323422874876,-0.138152027184852,-0.0897160250806374,-0.00204066785487818,0.122460355383593,-0.248934819811006,0.0686309007955607
61.715,-0.0154364663755054,-0.0563458404408087,0.00394969048522442,0.0696211966903547,-0.456564753486547,0.252143389811984,-0.138254676311946,-0.0905374412148933,-0.00202377684855746,0.123116018478046,-0.24674622208634,0.0680681149951665
61.72,-0.015155296197567,-0.0566781531863492,0.00400230064402846,0.0713756555549916,-0.454506825443934,0.250980927171907,-0.138413593553557,-0.091326448886376,-0.00200953488332847,0.123759750482417,-0.244584178650861,0.0675092412030819
61.725,-0.0147275016638879,-0.0569390133847047,0.00406663180565421,0.073172571579363,-0.452485940645387,0.249837077172097,-0.138619927012564,-0.0920807673460898,-0.00199576097978527,0.124399335263717,-0.24245790056962,0.0669562990201854
