run	report	run_family	profile	training_mode	mode	seed	selected_gate_softness	selected_gate_deadband	detector	auroc	best_signal	best_signal_auroc	auroc_logit	auroc_aleatoric	auroc_residual	auroc_forecast	auroc_epistemic	auroc_staleness	auroc_coherence	auroc_drift
v2_fc_ablation_det_aug_seed23	reports/v2_fc_ablation_det_aug_seed23/reliability_report.json	ablation	human	det_aug	eval	23.0000	8.0000	0.4716	fault_detection/val/imu_bias	0.5266	logit	0.5437	0.5437	0.5179			0.4935	0.5014	0.5000	0.5140
v2_fc_ablation_det_aug_seed23	reports/v2_fc_ablation_det_aug_seed23/reliability_report.json	ablation	human	det_aug	eval	23.0000	8.0000	0.4716	fault_detection/val/insole_missing	0.9033	aleatoric	0.9446	0.9370	0.9446			0.6247	0.8620	0.5000	0.3138
v2_fc_ablation_det_aug_seed23	reports/v2_fc_ablation_det_aug_seed23/reliability_report.json	ablation	human	det_aug	eval	23.0000	8.0000	0.4716	fault_detection/val/packet_loss	0.7930	staleness	0.9182	0.4999	0.4996			0.4876	0.9182	0.4751	0.5010
v2_fc_ablation_det_aug_seed23	reports/v2_fc_ablation_det_aug_seed23/reliability_report.json	ablation	human	det_aug	eval	23.0000	8.0000	0.4716	fault_detection/val/packet_loss_burst	0.6946	staleness	0.8978	0.4992	0.4997			0.4978	0.8978	0.0768	0.5064
v2_fc_ablation_det_aug_seed23	reports/v2_fc_ablation_det_aug_seed23/reliability_report.json	ablation	human	det_aug	eval	23.0000	8.0000	0.4716	fault_detection/val/packet_loss_partial	0.9419	coherence	0.9997	0.5000	0.4996			0.5048	0.9222	0.9997	0.5006
v2_fc_ablation_det_aug_seed23	reports/v2_fc_ablation_det_aug_seed23/reliability_report.json	ablation	human	det_aug	eval	23.0000	8.0000	0.4716	fault_detection/val/sensor_delay	0.8592	coherence	0.9529	0.5078	0.5422			0.5402	0.5010	0.9529	0.5136
v2_fc_ablation_det_aug_seed23	reports/v2_fc_ablation_det_aug_seed23/reliability_report.json	ablation	human	det_aug	eval	23.0000	8.0000	0.4716	fault_detection/val/sensor_delay_jitter	0.8337	coherence	0.9296	0.5104	0.5455			0.5220	0.5006	0.9296	0.5155
v2_fc_ablation_det_aug_seed23	reports/v2_fc_ablation_det_aug_seed23/reliability_report.json	ablation	human	det_aug	eval	23.0000	8.0000	0.4716	fault_detection/val/stuck_imu	0.9548	coherence	1.0000	0.5604	0.5632			0.5508	0.9542	1.0000	0.4877
v2_fc_ablation_det_aug_seed23	reports/v2_fc_ablation_det_aug_seed23/reliability_report.json	ablation	human	det_aug	eval	23.0000	8.0000	0.4716	ood_detection/clean	0.7229	aleatoric	0.8160	0.6698	0.8160			0.7171	0.5563	0.5624	0.6657
v2_fc_ablation_det_aug_seed7	reports/v2_fc_ablation_det_aug_seed7/reliability_report.json	ablation	human	det_aug	eval	7.0000	8.0000	0.5447	fault_detection/test_id/encoder_dropout	0.9453	logit	0.9724	0.9724	0.1767			0.7254	0.9457	0.4999	0.4822
v2_fc_ablation_det_aug_seed7	reports/v2_fc_ablation_det_aug_seed7/reliability_report.json	ablation	human	det_aug	eval	7.0000	8.0000	0.5447	fault_detection/test_id/imu_bias	0.5156	aleatoric	0.5308	0.5308	0.5308			0.4725	0.5022	0.5000	0.5132
v2_fc_ablation_det_aug_seed7	reports/v2_fc_ablation_det_aug_seed7/reliability_report.json	ablation	human	det_aug	eval	7.0000	8.0000	0.5447	fault_detection/test_id/insole_missing	0.9269	logit	0.9872	0.9872	0.0808			0.6670	0.8574	0.4999	0.3175
v2_fc_ablation_det_aug_seed7	reports/v2_fc_ablation_det_aug_seed7/reliability_report.json	ablation	human	det_aug	eval	7.0000	8.0000	0.5447	fault_detection/test_id/packet_loss	0.8886	staleness	0.9370	0.4996	0.5003			0.4883	0.9370	0.4774	0.5000
v2_fc_ablation_det_aug_seed7	reports/v2_fc_ablation_det_aug_seed7/reliability_report.json	ablation	human	det_aug	eval	7.0000	8.0000	0.5447	fault_detection/test_id/packet_loss_burst	0.7802	staleness	0.9231	0.4989	0.5009			0.4973	0.9231	0.0545	0.5016
v2_fc_ablation_det_aug_seed7	reports/v2_fc_ablation_det_aug_seed7/reliability_report.json	ablation	human	det_aug	eval	7.0000	8.0000	0.5447	fault_detection/test_id/packet_loss_partial	0.9421	coherence	1.0000	0.4996	0.5001			0.5013	0.9387	1.0000	0.4996
v2_fc_ablation_det_aug_seed7	reports/v2_fc_ablation_det_aug_seed7/reliability_report.json	ablation	human	det_aug	eval	7.0000	8.0000	0.5447	fault_detection/test_id/sensor_delay	0.8747	coherence	0.9530	0.5161	0.4967			0.5338	0.4970	0.9530	0.5087
