run	report	run_family	profile	training_mode	mode	seed	selected_gate_softness	selected_gate_deadband	scenario	policy_source	selected_softness	selected_deadband	met_wrong_budget	wrong_limit	gated_wrong	ungated_wrong	gate_wrong_delta	gated_retained	ungated_retained	gate_retained_delta	gate_retained_ratio	mean_gate	nature_wrong	nature_retained	retained_delta
v2_fc_main_seed7	reports/v2_fc_main_seed7/reliability_report.json	main	human	prob_aug_recon_fc	eval	7.0000	2.0000	1.0520	test_id/encoder_dropout	selected_val_gate	2.0000	1.0520	1.0000	0.1928	0.1012	0.1121	-0.0109	0.4180	0.6483	-0.2302	0.6448	0.8215	0.1828	0.5915	-0.1734
v2_fc_main_seed7	reports/v2_fc_main_seed7/reliability_report.json	main	human	prob_aug_recon_fc	eval	7.0000	2.0000	1.0520	test_id/imu_bias	selected_val_gate	2.0000	1.0520	0.0000	0.0738	0.0748	0.0755	-0.0007	0.7613	0.7915	-0.0302	0.9619	0.9785	0.0638	0.9647	-0.2034
v2_fc_main_seed7	reports/v2_fc_main_seed7/reliability_report.json	main	human	prob_aug_recon_fc	eval	7.0000	2.0000	1.0520	test_id/packet_loss	selected_val_gate	2.0000	1.0520	0.0000	0.0692	0.0744	0.0751	-0.0007	0.7788	0.8151	-0.0363	0.9554	0.9730	0.0592	0.9611	-0.1823
v2_fc_main_seed7	reports/v2_fc_main_seed7/reliability_report.json	main	human	prob_aug_recon_fc	eval	7.0000	2.0000	1.0520	test_id/stuck_imu	selected_val_gate	2.0000	1.0520	1.0000	0.1027	0.0732	0.0801	-0.0068	0.6475	0.7913	-0.1439	0.8182	0.8653	0.0927	0.8554	-0.2080
v2_fc_main_seed7	reports/v2_fc_main_seed7/reliability_report.json	main	human	prob_aug_recon_fc	eval	7.0000	2.0000	1.0520	test_id/packet_loss_burst	selected_val_gate	2.0000	1.0520	0.0000	0.0706	0.0744	0.0752	-0.0008	0.7667	0.8135	-0.0469	0.9424	0.9586	0.0606	0.9585	-0.1918
v2_fc_main_seed7	reports/v2_fc_main_seed7/reliability_report.json	main	human	prob_aug_recon_fc	eval	7.0000	2.0000	1.0520	test_id/packet_loss_partial	selected_val_gate	2.0000	1.0520	0.0000	0.0692	0.0743	0.0749	-0.0007	0.7785	0.8152	-0.0367	0.9550	0.9738	0.0592	0.9614	-0.1829
v2_fc_main_seed7	reports/v2_fc_main_seed7/reliability_report.json	main	human	prob_aug_recon_fc	eval	7.0000	2.0000	1.0520	test_id/sensor_delay	selected_val_gate	2.0000	1.0520	1.0000	0.1644	0.1018	0.1052	-0.0034	0.6590	0.7513	-0.0923	0.8771	0.9477	0.1544	0.8038	-0.1448
v2_fc_main_seed7	reports/v2_fc_main_seed7/reliability_report.json	main	human	prob_aug_recon_fc	eval	7.0000	2.0000	1.0520	test_id/sensor_delay_jitter	selected_val_gate	2.0000	1.0520	1.0000	0.1628	0.1032	0.1077	-0.0044	0.6467	0.7548	-0.1082	0.8567	0.9383	0.1528	0.8020	-0.1553
v2_fc_main_seed7	reports/v2_fc_main_seed7/reliability_report.json	main	human	prob_aug_recon_fc	eval	7.0000	2.0000	1.0520	test_ood/insole_missing	selected_val_gate	2.0000	1.0520	1.0000	0.1580	0.0748	0.0850	-0.0102	0.5626	0.6285	-0.0659	0.8951	0.9143	0.1480	0.3055	0.2571
v2_fc_main_seed7	reports/v2_fc_main_seed7/reliability_report.json	main	human	prob_aug_recon_fc	eval	7.0000	2.0000	1.0520	test_ood/encoder_dropout	selected_val_gate	2.0000	1.0520	1.0000	0.1958	0.1321	0.1420	-0.0099	0.2791	0.4088	-0.1297	0.6826	0.8770	0.1858	0.5307	-0.2516
v2_fc_main_seed7	reports/v2_fc_main_seed7/reliability_report.json	main	human	prob_aug_recon_fc	eval	7.0000	2.0000	1.0520	test_ood/imu_bias	selected_val_gate	2.0000	1.0520	0.0000	0.0490	0.0651	0.0731	-0.0080	0.6735	0.7017	-0.0282	0.9598	0.9507	0.0390	1.0997	-0.4262
v2_fc_main_seed7	reports/v2_fc_main_seed7/reliability_report.json	main	human	prob_aug_recon_fc	eval	7.0000	2.0000	1.0520	test_ood/packet_loss	selected_val_gate	2.0000	1.0520	0.0000	0.0454	0.0682	0.0766	-0.0083	0.6984	0.7297	-0.0313	0.9571	0.9476	0.0354	1.0840	-0.3856
v2_fc_main_seed7	reports/v2_fc_main_seed7/reliability_report.json	main	human	prob_aug_recon_fc	eval	7.0000	2.0000	1.0520	test_ood/stuck_imu	selected_val_gate	2.0000	1.0520	0.0000	0.0565	0.0690	0.0777	-0.0088	0.6704	0.7177	-0.0473	0.9340	0.9244	0.0465	1.0625	-0.3921
v2_fc_main_seed7	reports/v2_fc_main_seed7/reliability_report.json	main	human	prob_aug_recon_fc	eval	7.0000	2.0000	1.0520	test_ood/packet_loss_burst	selected_val_gate	2.0000	1.0520	0.0000	0.0457	0.0685	0.0773	-0.0088	0.6881	0.7289	-0.0407	0.9441	0.9336	0.0357	1.0817	-0.3935
v2_fc_main_seed7	reports/v2_fc_main_seed7/reliability_report.json	main	human	prob_aug_recon_fc	eval	7.0000	2.0000	1.0520	test_ood/packet_loss_partial	selected_val_gate	2.0000	1.0520	0.0000	0.0454	0.0678	0.0761	-0.0083	0.6980	0.7298	-0.0319	0.9563	0.9477	0.0354	1.0835	-0.3855
v2_fc_main_seed7	reports/v2_fc_main_seed7/reliability_report.json	main	human	prob_aug_recon_fc	eval	7.0000	2.0000	1.0520	test_ood/sensor_delay	selected_val_gate	2.0000	1.0520	1.0000	0.1018	0.0860	0.0986	-0.0126	0.6476	0.6886	-0.0410	0.9404	0.9330	0.0918	0.9873	-0.3397
v2_fc_main_seed7	reports/v2_fc_main_seed7/reliability_report.json	main	human	prob_aug_recon_fc	eval	7.0000	2.0000	1.0520	test_ood/sensor_delay_jitter	selected_val_gate	2.0000	1.0520	1.0000	0.1012	0.0859	0.1001	-0.0142	0.6457	0.6880	-0.0423	0.9386	0.9269	0.0912	0.9856	-0.3399
