profile	scenario	n	our_rmse_mean	our_rmse_std	nature_rmse_mean	nature_rmse_std	rmse_delta_mean	rmse_delta_std	our_r2_mean	our_r2_std	nature_r2_mean	nature_r2_std	r2_delta_mean	r2_delta_std	our_wrong_mean	our_wrong_std	our_ungated_wrong_mean	our_ungated_wrong_std	gate_wrong_delta_mean	gate_wrong_delta_std	nature_wrong_mean	nature_wrong_std	wrong_delta_mean	wrong_delta_std	our_retained_mean	our_retained_std	our_ungated_retained_mean	our_ungated_retained_std	gate_retained_delta_mean	gate_retained_delta_std	gate_retained_ratio_mean	gate_retained_ratio_std	nature_retained_mean	nature_retained_std	retained_delta_mean	retained_delta_std	ungated_retained_delta_mean	ungated_retained_delta_std	mean_gate_mean	mean_gate_std	cl_net_moment_rms_reduction_ratio_mean	cl_net_moment_rms_reduction_ratio_std	cl_abs_work_reduction_ratio_mean	cl_abs_work_reduction_ratio_std	cl_fight_fraction_mean	cl_fight_fraction_std
human_interaction	test_id/insole_missing	1.0000	0.1881	0.0000					0.7263	0.0000					0.0873	0.0000	0.0907	0.0000	-0.0034	0.0000					0.5589	0.0000	0.7159	0.0000	-0.1570	0.0000	0.7807	0.0000							0.8751	0.0000	0.0691	0.0000	0.0771	0.0000	0.2227	0.0000
human_interaction	test_id/packet_loss	1.0000	0.1787	0.0000					0.7532	0.0000					0.0824	0.0000	0.0830	0.0000	-0.0006	0.0000					0.7577	0.0000	0.7862	0.0000	-0.0285	0.0000	0.9637	0.0000							0.9740	0.0000	0.0993	0.0000	0.0995	0.0000	0.2091	0.0000
human_interaction	test_id/packet_loss_burst	1.0000	0.1802	0.0000					0.7488	0.0000					0.0829	0.0000	0.0837	0.0000	-0.0008	0.0000					0.7447	0.0000	0.7838	0.0000	-0.0391	0.0000	0.9502	0.0000							0.9589	0.0000	0.0970	0.0000	0.0969	0.0000	0.2113	0.0000
human_interaction	test_id/packet_loss_partial	1.0000	0.1787	0.0000					0.7532	0.0000					0.0824	0.0000	0.0830	0.0000	-0.0006	0.0000					0.7571	0.0000	0.7861	0.0000	-0.0290	0.0000	0.9631	0.0000							0.9744	0.0000	0.0991	0.0000	0.0994	0.0000	0.2094	0.0000
human_interaction	test_id/sensor_delay	1.0000	0.2146	0.0000					0.6438	0.0000					0.1102	0.0000	0.1129	0.0000	-0.0027	0.0000					0.6529	0.0000	0.7241	0.0000	-0.0712	0.0000	0.9017	0.0000							0.9533	0.0000	0.0726	0.0000	0.0641	0.0000	0.2631	0.0000
human_interaction	test_id/sensor_delay_jitter	1.0000	0.2202	0.0000					0.6250	0.0000					0.1131	0.0000	0.1163	0.0000	-0.0033	0.0000					0.6514	0.0000	0.7220	0.0000	-0.0706	0.0000	0.9022	0.0000							0.9510	0.0000	0.0716	0.0000	0.0633	0.0000	0.2626	0.0000
human_interaction	test_id/stuck_imu	1.0000	0.1838	0.0000					0.7390	0.0000					0.0843	0.0000	0.0925	0.0000	-0.0082	0.0000					0.6299	0.0000	0.7567	0.0000	-0.1268	0.0000	0.8324	0.0000							0.8694	0.0000	0.0834	0.0000	0.0751	0.0000	0.2252	0.0000
human_interaction	test_ood/clean	1.0000	0.2625	0.0000					0.6811	0.0000					0.0793	0.0000	0.0872	0.0000	-0.0079	0.0000					0.6812	0.0000	0.7128	0.0000	-0.0316	0.0000	0.9556	0.0000							0.9480	0.0000	0.0972	0.0000	0.0787	0.0000	0.2110	0.0000
human_interaction	test_ood/encoder_dropout	1.0000	0.3385	0.0000					0.4698	0.0000					0.1540	0.0000	0.1669	0.0000	-0.0129	0.0000					0.2721	0.0000	0.4799	0.0000	-0.2078	0.0000	0.5670	0.0000							0.8398	0.0000	0.0317	0.0000	0.0288	0.0000	0.2719	0.0000
human_interaction	test_ood/imu_bias	1.0000	0.2604	0.0000					0.6862	0.0000					0.0767	0.0000	0.0844	0.0000	-0.0077	0.0000					0.6687	0.0000	0.6989	0.0000	-0.0302	0.0000	0.9568	0.0000							0.9485	0.0000	0.0959	0.0000	0.0771	0.0000	0.2063	0.0000
human_interaction	test_ood/insole_missing	1.0000	0.2832	0.0000					0.6289	0.0000					0.0733	0.0000	0.0990	0.0000	-0.0257	0.0000					0.4230	0.0000	0.6113	0.0000	-0.1884	0.0000	0.6919	0.0000							0.8091	0.0000	0.0523	0.0000	0.0454	0.0000	0.2142	0.0000
human_interaction	test_ood/packet_loss	1.0000	0.2632	0.0000					0.6795	0.0000					0.0794	0.0000	0.0875	0.0000	-0.0081	0.0000					0.6787	0.0000	0.7124	0.0000	-0.0338	0.0000	0.9526	0.0000							0.9445	0.0000	0.0968	0.0000	0.0775	0.0000	0.2114	0.0000
human_interaction	test_ood/packet_loss_burst	1.0000	0.2642	0.0000					0.6770	0.0000					0.0800	0.0000	0.0883	0.0000	-0.0083	0.0000					0.6668	0.0000	0.7119	0.0000	-0.0451	0.0000	0.9366	0.0000							0.9282	0.0000	0.0945	0.0000	0.0759	0.0000	0.2121	0.0000
human_interaction	test_ood/packet_loss_partial	1.0000	0.2632	0.0000					0.6794	0.0000					0.0795	0.0000	0.0879	0.0000	-0.0084	0.0000					0.6793	0.0000	0.7123	0.0000	-0.0330	0.0000	0.9537	0.0000							0.9459	0.0000	0.0970	0.0000	0.0777	0.0000	0.2118	0.0000
human_interaction	test_ood/sensor_delay	1.0000	0.3117	0.0000					0.5504	0.0000					0.1028	0.0000	0.1172	0.0000	-0.0144	0.0000					0.6365	0.0000	0.6761	0.0000	-0.0395	0.0000	0.9415	0.0000							0.9334	0.0000	0.0833	0.0000	0.0459	0.0000	0.2430	0.0000
human_interaction	test_ood/sensor_delay_jitter	1.0000	0.3114	0.0000					0.5513	0.0000					0.1015	0.0000	0.1163	0.0000	-0.0148	0.0000					0.6326	0.0000	0.6731	0.0000	-0.0405	0.0000	0.9398	0.0000							0.9303	0.0000	0.0833	0.0000	0.0474	0.0000	0.2413	0.0000
human_interaction	test_ood/stuck_imu	1.0000	0.2644	0.0000					0.6766	0.0000					0.0799	0.0000	0.0938	0.0000	-0.0139	0.0000					0.6558	0.0000	0.7033	0.0000	-0.0475	0.0000	0.9325	0.0000							0.9262	0.0000	0.0937	0.0000	0.0742	0.0000	0.1990	0.0000
human_measured	test_id/clean	1.0000	0.1793	0.0000					0.7515	0.0000					0.0769	0.0000	0.0777	0.0000	-0.0008	0.0000					0.7322	0.0000	0.7611	0.0000	-0.0289	0.0000	0.9620	0.0000							0.9771	0.0000	0.0915	0.0000	0.0955	0.0000	0.2080	0.0000
human_measured	test_id/encoder_dropout	1.0000	0.2204	0.0000					0.6244	0.0000					0.0982	0.0000	0.1145	0.0000	-0.0163	0.0000					0.3930	0.0000	0.6525	0.0000	-0.2595	0.0000	0.6023	0.0000							0.7858	0.0000	0.0415	0.0000	0.0417	0.0000	0.2382	0.0000
human_measured	test_id/imu_bias	1.0000	0.1834	0.0000					0.7401	0.0000					0.0788	0.0000	0.0797	0.0000	-0.0009	0.0000					0.7185	0.0000	0.7449	0.0000	-0.0264	0.0000	0.9646	0.0000							0.9777	0.0000	0.0885	0.0000	0.0922	0.0000	0.2123	0.0000
human_measured	test_id/insole_missing	1.0000	0.1976	0.0000					0.6982	0.0000					0.0874	0.0000	0.0899	0.0000	-0.0025	0.0000					0.5497	0.0000	0.6720	0.0000	-0.1223	0.0000	0.8180	0.0000							0.8975	0.0000	0.0661	0.0000	0.0763	0.0000	0.2224	0.0000
